geoId,Population
BI,11890.781
DJ,988.0020000000001
ER,3546.427
ET,114963.583
KE,53771.3
MG,27691.019
MU,1271.7669999999998
MZ,31255.434999999998
RW,12952.209000000003
SC,98.34000000000002
SO,15893.219
SS,11193.729
UG,45740.999999999985
TZ,59734.213
ZM,18383.956000000002
ZW,14862.927000000001
AO,32866.268
CM,26545.864
CF,4829.763999999999
TD,16425.859
CG,5518.092000000001
CD,89561.404
GQ,1402.9850000000001
GA,2225.728
BW,2351.6250000000005
SZ,1160.1640000000002
ZA,59308.69
BJ,12123.198
BF,20903.278000000006
CV,555.988
CI,26378.274999999994
GM,2416.6639999999998
GH,31072.944999999996
GN,13132.791999999998
GW,1967.998
LR,5057.677
ML,20250.833999999995
MR,4649.66
NE,24206.636
NG,206139.587
SN,16743.93
SL,7976.985000000001
TG,8278.737
DZ,43851.043000000005
EG,102334.40299999999
LY,6871.287
MA,36910.558000000005
SD,43849.26900000001
TN,11818.617999999999
AM,2963.234
AZ,10139.175000000001
BH,1701.5829999999999
CY,1207.361
GE,3989.175
IQ,40222.503000000004
IL,8655.541000000001
JO,10203.140000000001
KW,4270.563
LB,6825.442000000001
OM,5106.622000000001
QA,2881.06
SA,34813.867
PS,5101.416
SY,17500.657000000003
TR,84339.067
AE,9890.4
KZ,18776.707000000002
KG,6524.190999999999
UZ,33469.199
AF,38928.341
BD,164689.383
BT,771.6120000000001
IN,1380004.3849999998
IR,83992.95300000001
MV,540.542
NP,29136.808
PK,220892.33100000003
LK,21413.25
CN,1439323.7739999997
TW,23816.774999999998
JP,126476.45799999998
MN,3278.292
KR,51269.183000000005
BN,437.483
KH,16718.971
ID,273523.62100000004
LA,7275.5560000000005
MY,32365.998
MM,54409.793999999994
PH,109581.085
SG,5850.343
TH,69799.978
TL,1318.442
VN,97338.583
AG,97.928
AW,106.766
BS,393.24799999999993
BB,287.37100000000004
CU,11326.616
CW,164.1
DO,10847.903999999999
GD,112.51899999999998
HT,11402.533
JM,2961.161
PR,2860.84
LC,183.62900000000002
VC,110.94699999999999
TT,1399.491
VI,104.423
BZ,397.621
CR,5094.1140000000005
SV,6486.201
GT,17915.567
HN,9904.608
MX,128932.75300000001
NI,6624.554000000001
PA,4314.768
AR,45195.777
BO,11673.028999999999
BR,212559.40899999999
CL,19116.209000000003
CO,50882.88399999999
EC,17643.06
GY,786.5589999999999
PY,7132.530000000002
PE,32971.846
SR,586.634
UY,3473.727
VE,28435.943
AU,25499.881000000005
NZ,4822.233
FJ,896.4440000000001
NC,285.491
PG,8947.027
GU,168.78300000000002
PF,280.90399999999994
BY,9449.320999999998
BG,6948.445
CZ,10708.982
HU,9660.35
PL,37846.60499999999
MD,4033.963
RO,19237.682
RU,145934.46
SK,5459.643
UA,43733.759000000005
DK,5792.2029999999995
EE,1326.5390000000002
FI,5540.718000000001
IS,341.25
IE,4937.796
LV,1886.202
LT,2722.291
NO,5421.241999999999
SE,10099.27
GB,67886.004
AL,2877.7999999999997
BA,3280.8150000000005
HR,4105.267999999999
GR,10423.056
IT,60461.82800000001
MT,441.539
ME,628.062
MK,2083.38
PT,10196.707
RS,8737.37
SI,2078.932
ES,46754.783
AT,9006.4
BE,11589.616000000002
FR,65273.512
DE,83783.94500000002
LU,625.9760000000002
NL,17134.873
CH,8654.618
CA,37742.157
US,331002.647
